timestamp,gyro_x,gyro_y,gyro_z,orin_x,orin_y,orin_z,orin_w,roll,pitch,yaw,acc_x,acc_y,acc_z,Key
12601470,-0.8125,-0.4375,0.625,0.324646,0.126282,-0.25531,-0.9019780000000001,-0.709388,-0.0620757,0.574721,0.0634766,-0.665039,0.7851560000000001,Backward
12625507,-1.25,-0.3125,1.0625,0.324829,0.12616,-0.25549299999999997,-0.901855,-0.709681,-0.061611300000000015,0.574987,0.0507813,-0.676758,0.796875,Backward
12639141,-1.9375,-0.1875,3.0625,0.32519499999999996,0.125916,-0.256042,-0.901611,-0.710303,-0.060563099999999995,0.5758979999999999,0.049316399999999996,-0.678711,0.789551,Backward
12661475,-3.4375,-2.625,3.875,0.325745,0.125977,-0.256836,-0.901184,-0.711507,-0.0597659,0.577526,0.0371094,-0.685547,0.8007810000000001,Backward
12684485,-6.3125,-6.6875,0.875,0.32629400000000003,0.127136,-0.257202,-0.9006959999999999,-0.713392,-0.0612134,0.579148,0.0585938,-0.6445310000000001,0.7670899999999999,Backward
12699029,0.0625,-0.875,7.0,0.326843,0.12646500000000002,-0.25854499999999997,-0.900208,-0.714142,-0.058715599999999986,0.581286,0.018066400000000003,-0.7202149999999999,0.7905270000000001,Backward
12720993,1.4375,2.625,2.9375,0.32702600000000004,0.125854,-0.258911,-0.9001459999999999,-0.714148,-0.057264699999999995,0.581555,0.055664099999999994,-0.687012,0.760254,Backward
12744156,7.6875,1.4375,-1.6875,0.325439,0.125549,-0.258606,-0.900818,-0.710679,-0.0579053,0.580627,0.08251950000000001,-0.5952149999999999,0.7387699999999999,Backward
12759257,-0.5,-1.5625,-2.375,0.325256,0.126343,-0.258179,-0.9008790000000001,-0.7107939999999999,-0.0597261,0.58038,0.09179689999999999,-0.638184,0.7436520000000001,Backward
12781251,6.1875,-3.625,-3.125,0.323853,0.12725799999999998,-0.257874,-0.901367,-0.708526,-0.0624275,0.580412,0.102539,-0.643555,0.75293,Backward
12804223,3.875,-1.75,-1.5625,0.322876,0.127502,-0.257813,-0.901733,-0.706708,-0.0635062,0.580435,0.0766602,-0.628418,0.766113,Backward
12819526,-5.0,0.25,-0.875,0.323792,0.127502,-0.257629,-0.9014280000000001,-0.70855,-0.063074,0.5801189999999999,0.04394530000000002,-0.6679689999999999,0.767578,Backward
12841488,-4.8125,0.5625,-0.4375,0.32495100000000005,0.127502,-0.257446,-0.901062,-0.710905,-0.062501,0.579828,0.041503899999999996,-0.695801,0.7641600000000001,Backward
12864261,-1.8125,0.3125,0.5,0.325623,0.12731900000000002,-0.25756799999999996,-0.900818,-0.7121649999999999,-0.061682000000000015,0.579969,0.039550800000000004,-0.687988,0.760254,Backward
12879260,0.4375,1.3125,0.6875,0.32556199999999996,0.127136,-0.25756799999999996,-0.9008790000000001,-0.7119270000000001,-0.0613986,0.579831,0.0698242,-0.665039,0.775879,Backward
12901248,-0.9375,1.1875,1.125,0.3255,0.126953,-0.25769000000000003,-0.9008790000000001,-0.711683,-0.061019900000000016,0.57992,0.07128910000000001,-0.644043,0.777832,Backward
12924285,-3.625,0.6875,-0.375,0.325867,0.127075,-0.257446,-0.900818,-0.712507,-0.0611951,0.579566,0.0727539,-0.648926,0.780762,Backward
12939250,-3.5,-0.625,-0.5625,0.32629400000000003,0.12731900000000002,-0.257324,-0.9006350000000001,-0.713518,-0.061448400000000014,0.579526,0.06591799999999999,-0.664063,0.775879,Backward
